"","name","handedness","height","weight","avg","HR"
"2","Denny Lemaster","R",73,182,0.13,4
"3","Joe Nolan","L",71,175,0.263,27
"4","Denny Doyle","L",69,175,0.25,16
"5","Jose Cardenal","R",70,150,0.275,138
"6","Mike Ryan","R",74,205,0.193,28
"7","Fritz Peterson","B",72,185,0.159,2
"8","Dick Bertell","R",72,200,0.25,10
"9","Rod Kanehl","R",73,180,0.241,6
"13","Juan Bonilla","R",69,170,0.256,7
"14","Frank Tepedino","L",71,185,0.241,6
"16","Rick Wise","R",73,180,0.195,15
"17","Darrell Evans","L",74,200,0.248,414
"18","Buck Martinez","R",70,190,0.225,58
"19","John Wockenfuss","R",72,190,0.262,86
"20","Tommy McCraw","L",72,183,0.246,75
"24","Lee Lacy","R",73,175,0.286,91
"25","Pete Rose","B",71,192,0.303,160
"26","Danny Walton","R",72,195,0.223,28
"27","Bobby Cox","R",71,180,0.225,9
"28","Brad Wellman","R",72,170,0.231,6
"29","Jeff Newman","R",74,215,0.224,63
"30","Pedro Gonzalez","R",72,176,0.244,8
"32","Tommie Reynolds","R",74,190,0.226,12
"33","Gene Clines","R",69,170,0.277,5
"34","Jim Hickman","R",75,192,0.252,159
"35","Jack Billingham","R",76,195,0.111,0
"36","Jerry Buchek","R",71,185,0.22,22
"37","Ivan DeJesus","R",71,175,0.254,21
"38","Gary Nolan","R",74,197,0.138,1
"40","Fred Whitfield","L",73,190,0.253,108
"41","Larry Dierker","R",76,215,0.136,4
"42","Dave Skaggs","R",74,200,0.241,3
"43","Dick Ruthven","R",75,190,0.183,1
"46","Dave Kingman","R",78,210,0.236,442
"47","Eric Soderholm","R",71,187,0.264,102
"49","Ed Brinkman","R",72,170,0.224,60
"50","Wayne Garrett","L",71,175,0.239,61
"51","Tony Muser","L",74,180,0.259,7
"54","Ted Ford","R",70,180,0.219,17
"56","Jim Lyttle","L",72,180,0.248,9
"59","Scot Thompson","L",75,195,0.262,5
"60","Gene Locklear","L",70,165,0.274,9
"61","Bo Diaz","R",71,185,0.255,87
"62","Bump Wills","B",69,172,0.266,36
"64","Pat Putnam","L",72,205,0.255,63
"65","Kurt Bevacqua","R",72,180,0.236,27
"67","Syd O'Brien","R",73,185,0.23,24
"68","Chris Chambliss","L",73,195,0.279,185
"69","Tom Satriano","L",73,185,0.225,21
"70","Jeffrey Leonard","R",74,200,0.266,144
"71","Dal Maxvill","R",71,157,0.217,6
